TradeDate;High;Low;Open;Close;PrevClose;EMA8;EMA22;EMA30;EMA4High;EMA4Low
2011/09/09;921.8;871.16;885.04;886.73;886.77;;;;;
2011/09/12;885.7;845.06;884.56;847.48;886.73;;;;;
2011/09/13;862.94;835.46;853.91;843.12;847.48;;;;;
2011/09/14;868.63;849.79;849.98;857.18;843.12;;;;884.7675;850.3675
2011/09/15;875.64;847.7;862.63;848.4;857.18;;;;881.1165;860.4765
2011/09/16;868.59;844.55;853.48;864.94;848.4;;;;876.1059;863.7219
2011/09/19;863.68;833.54;863.68;850.22;864.94;;;;871.13554;863.70514
2011/09/20;863.06;842.8;853.47;844.19;850.22;855.2825;;;867.905324;863.447084
2011/09/21;858.89;844.1;846.39;855.99;844.19;855.4397222;;;864.2991944;861.6242504
2011/09/22;851.87;827.05;851.87;830.07;855.99;849.8020062;;;859.3275166;857.7225502
2011/09/23;826.78;790.26;825.34;797.95;830.07;838.2793381;;;846.30851;845.3455301
2011/09/26;806.42;777.71;794.08;784.65;797.95;826.3617074;;;830.353106;829.7753181
2011/09/27;799.03;781.76;790.65;791.19;784.65;818.5457725;;;817.8238636;817.4771909
2011/09/28;809.94;779.2;795.92;809.94;791.19;816.6333786;;;814.6703182;814.4623145
2011/09/29;808.99;794.76;802.24;802.57;809.94;813.5081833;;;812.3981909;812.2733887
2011/09/30;802.4;785.45;797.6;798.42;802.57;810.1552537;;;808.3989145;808.3240332
2011/10/03;794.66;773.52;794.15;779.29;798.42;803.2963084;;;802.9033487;802.8584199
2011/10/04;778.31;723.37;777.85;730.33;779.29;787.0815732;;;793.0660092;793.039052
2011/10/05;749.1;730.29;731.15;735.51;730.33;775.6212236;;;775.4796055;775.4634312
2011/10/06;760.8;736.21;738.11;739.97;735.51;767.6987295;;;769.6077633;769.5980587
2011/10/07;755.89;734.34;740.47;744.37;739.97;762.5145674;808.2986364;;764.120658;764.1148352
2011/10/10;746.38;701.31;746.33;740.06;744.37;757.5246635;802.3648419;;757.0243948;757.0209011
2011/10/11;746.88;719.63;744.94;725.45;740.06;750.3969605;795.6765948;;752.9666369;752.9645407
2011/10/12;766;723.53;727.91;759.89;725.45;752.5065248;792.564717;;758.1799821;758.1787244
2011/10/13;778.5;753.25;767.1;772.36;759.89;756.9184082;790.8077851;;766.3079893;766.3072346
2011/10/14;784.21;759.26;768.13;775.59;772.36;761.0676508;789.4844994;;773.4687936;773.4683408
2011/10/17;776.67;747.14;775.76;752.59;775.59;759.1837284;786.2762821;;774.7492761;774.7490045
2011/10/18;745.64;735.07;745.63;738.08;752.59;754.494011;782.085301;;763.1055657;763.1054027
2011/10/19;756.89;733.62;742.54;740.93;738.08;751.4797863;778.5065792;794.74;760.6193394;760.6192416
2011/10/20;750.56;729.17;734.87;742.76;740.93;749.542056;775.398181;791.49125;756.5956036;756.595545
